Time(s)	Position(mm)
54.6184	42.595017
54.6823	42.589387
54.7453	42.582566
54.8065	42.576648
54.8687	42.570137
54.9323	42.564248
54.9944	42.557727
55.0565	42.551797
55.1190	42.544988
55.1822	42.538457
55.2450	42.532566
55.3077	42.526057
55.3708	42.520137
55.4338	42.513328
55.4975	42.507698
55.5601	42.500886
55.6224	42.494377
55.6851	42.488496
55.7470	42.482566
55.8093	42.476038
55.8712	42.470156
55.9354	42.463657
55.9989	42.456848
56.0617	42.450957
56.1342	42.444436
56.2015	42.437607
56.2609	42.431077
56.3237	42.425146
56.3873	42.418337
56.4486	42.411816
56.5116	42.405947
56.5754	42.399436
56.6370	42.393518
56.7003	42.386697
56.7614	42.381077
56.8230	42.374277
56.8854	42.368696
56.9482	42.361868
57.0102	42.355928
57.0725	42.349407
57.1351	42.343518
57.1978	42.337017
57.2602	42.331128
57.3231	42.324287
57.3869	42.318657
57.4495	42.311826
57.5115	42.306267
57.5730	42.299446
57.6367	42.293828
57.6993	42.287017
57.7625	42.281096
57.8260	42.274587
57.8880	42.267766
57.9511	42.262178
58.0146	42.255376
58.0770	42.249458
58.1402	42.242947
58.2036	42.237068
58.2663	42.230547
58.3293	42.223738
58.3905	42.217837
58.4521	42.211306
58.5147	42.205427
58.5780	42.198906
58.6406	42.193018
58.7038	42.187078
58.7658	42.180547
58.8278	42.173748
58.8901	42.168167
58.9530	42.161367
59.0155	42.155457
59.0789	42.148926
59.1414	42.143027
59.2028	42.136516
59.2646	42.130657
59.3256	42.123848
59.3876	42.118228
59.4491	42.112327
59.5112	42.105828
59.5736	42.099946
59.6362	42.093406
59.6982	42.087507
59.7615	42.080696
59.8246	42.074177
59.8854	42.068286
59.9468	42.062656
60.0086	42.055857
60.0715	42.049988
60.1346	42.043486
60.1965	42.037588
60.2614	42.031067
60.3219	42.025127
60.3844	42.018328
60.4455	42.012756
60.5074	42.005947
60.5699	42.000317
60.6321	41.993506
60.6994	41.987917
60.7578	41.981077
60.8211	41.975217
60.8840	41.968687
60.9468	41.962756
61.0101	41.956257
61.0727	41.949436
61.1359	41.943547
61.1983	41.937036
61.2607	41.931138
61.3241	41.924607
61.3870	41.918716
61.4494	41.911897
61.5121	41.906316
61.5740	41.899487
61.6361	41.893857
61.6981	41.887056
61.7606	41.881187
61.8216	41.874668
61.8846	41.868748
61.9460	41.862217
62.0080	41.856296
62.0712	41.849487
62.1338	41.843926
62.1959	41.837126
62.2586	41.831487
62.3208	41.824656
62.3842	41.819077
62.4450	41.812246
62.5069	41.806367
62.5679	41.799836
62.6304	41.793916
62.6931	41.787407
62.7555	41.781526
62.8162	41.775596
62.8786	41.769067
62.9414	41.763196
63.0038	41.756697
63.0656	41.750796
63.1271	41.743977
63.1899	41.738357
63.2534	41.731526
63.3157	41.725017
63.3785	41.719148
63.4396	41.712346
63.5013	41.706716
63.5650	41.700806
63.6272	41.694297
63.6894	41.688406
63.7519	41.681887
63.8142	41.675967
63.8769	41.669177
63.9391	41.662666
64.0028	41.656777
64.0656	41.650266
64.1292	41.644346
64.1918	41.637546
64.2542	41.631926
64.3168	41.625127
64.3779	41.619546
64.4396	41.612717
64.5017	41.606787
64.5631	41.600266
64.6268	41.594417
64.6884	41.587898
64.7513	41.581997
64.8140	41.575166
64.8750	41.569556
64.9385	41.563687
65.0005	41.557168
65.0633	41.551238
65.1264	41.544717
65.1894	41.537917
65.2526	41.532026
65.3152	41.525518
65.3783	41.519617
65.4406	41.513086
65.5031	41.507197
65.5655	41.500376
65.6282	41.493867
65.6904	41.487976
65.7519	41.481477
65.8142	41.475547
65.8757	41.469668
65.9381	41.463167
65.9996	41.457288
66.0631	41.450757
66.1262	41.444817
66.1874	41.438018
66.2482	41.432456
66.3147	41.425647
66.3733	41.419148
66.4358	41.413218
66.4982	41.407637
66.5607	41.400806
66.6240	41.394946
66.6866	41.388418
66.7497	41.382488
66.8099	41.375986
66.8723	41.370107
66.9349	41.363276
66.9974	41.357656
67.0599	41.350857
67.1212	41.345247
67.1838	41.338447
67.2456	41.332556
67.3123	41.326038
67.3720	41.319216
67.4356	41.313577
67.4981	41.307717
67.5610	41.300906
67.6235	41.294397
67.6856	41.288467
67.7483	41.281926
67.8102	41.276006
67.8718	41.269197
67.9350	41.263638
67.9970	41.257698
68.0587	41.251177
68.1204	41.245308
68.1820	41.238796
68.2453	41.232886
68.3101	41.226077
68.3716	41.219556
68.4341	41.213647
68.4969	41.207136
68.5601	41.201257
68.6225	41.194436
68.6847	41.188806
68.7481	41.181997
68.8102	41.176416
68.8728	41.169617
68.9359	41.163716
68.9988	41.157197
69.0615	41.151257
69.1234	41.144766
69.1876	41.138906
69.2499	41.132107
69.3123	41.125596
69.3748	41.119656
69.4378	41.113118
69.5010	41.107217
69.5627	41.100417
69.6241	41.094827
69.6863	41.088916
69.7484	41.082407
69.8110	41.075576
69.8740	41.070007
69.9368	41.063196
69.9992	41.057307
70.0617	41.050776
70.1241	41.044888
70.1856	41.038376
70.2488	41.032488
70.3109	41.025696
70.3728	41.020056
70.4354	41.013257
70.4987	41.007688
70.5611	41.000876
70.6233	40.994956
70.6855	40.988428
70.7490	40.982517
70.8110	40.975996
70.8737	40.970156
70.9364	40.963328
70.9984	40.957688
71.0617	40.950857
71.1232	40.944326
71.1856	40.938486
71.2474	40.931677
71.3111	40.926077
71.3730	40.920156
71.4342	40.913657
71.4973	40.907766
71.5613	40.901257
71.6242	40.894458
71.6876	40.888538
71.7509	40.882007
71.8130	40.876116
71.8750	40.869617
71.9382	40.863706
71.9999	40.856897
72.0606	40.851277
72.1239	40.844468
72.1855	40.838906
72.2476	40.832078
72.3085	40.826147
72.3706	40.819617
72.4331	40.813726
72.4950	40.807227
72.5575	40.801338
72.6195	40.794517
72.6825	40.788877
72.7448	40.782986
72.8069	40.776477
72.8701	40.770576
72.9326	40.764048
72.9945	40.757236
73.0562	40.751316
73.1186	40.744797
73.1804	40.738916
73.2433	40.733267
73.3049	40.726467
73.3686	40.720608
73.4305	40.714087
73.4926	40.708167
73.5542	40.701626
73.6153	40.695696
73.6786	40.688887
73.7419	40.683328
73.8047	40.676506
73.8665	40.670876
73.9289	40.664048
73.9903	40.657227
74.0517	40.651626
